with_zx,span,comp_state,prefix,time,data,mrt_file,status
1,1024,uncomp,185.19.206.0/24,0.664,535876,http://data.ris.ripe.net/rrc19/2018.01/bview.20180101.0000.gz,
0,0,none,185.92.13.0/24,8.309,25816484,http://data.ris.ripe.net/rrc19/2018.01/bview.20180101.0000.gz,
1,1024,comp,185.92.13.0/24,1.746,2464612,http://data.ris.ripe.net/rrc19/2018.01/bview.20180101.0000.gz,
1,1024,uncomp,185.92.13.0/24,0.778,744388,http://data.ris.ripe.net/rrc19/2018.01/bview.20180101.0000.gz,
0,0,none,185.172.214.0/24,8.516,26395684,http://data.ris.ripe.net/rrc19/2018.01/bview.20180101.0000.gz,
1,1024,comp,185.172.214.0/24,0.897,855884,http://data.ris.ripe.net/rrc19/2018.01/bview.20180101.0000.gz,
1,1024,uncomp,185.172.214.0/24,0.529,344740,http://data.ris.ripe.net/rrc19/2018.01/bview.20180101.0000.gz,
0,0,none,186.148.102.0/24,6.863,26882212,http://data.ris.ripe.net/rrc19/2018.01/bview.20180101.0000.gz,
1,1024,comp,186.148.102.0/24,1.153,1345308,http://data.ris.ripe.net/rrc19/2018.01/bview.20180101.0000.gz,
1,1024,uncomp,186.148.102.0/24,0.691,149260,http://data.ris.ripe.net/rrc19/2018.01/bview.20180101.0000.gz,
0,0,none,188.0.138.0/24,7.419,26187662,http://data.ris.ripe.net/rrc19/2018.01/bview.20180101.0000.gz,
1,1024,comp,188.0.138.0/24,0.872,576420,http://data.ris.ripe.net/rrc19/2018.01/bview.20180101.0000.gz,
1,1024,uncomp,188.0.138.0/24,0.407,243380,http://data.ris.ripe.net/rrc19/2018.01/bview.20180101.0000.gz,
0,0,none,189.209.196.0/24,8.192,27667028,http://data.ris.ripe.net/rrc19/2018.01/bview.20180101.0000.gz,
1,1024,comp,189.209.196.0/24,1.009,925388,http://data.ris.ripe.net/rrc19/2018.01/bview.20180101.0000.gz,
1,1024,uncomp,189.209.196.0/24,0.530,356324,http://data.ris.ripe.net/rrc19/2018.01/bview.20180101.0000.gz,
0,0,none,190.106.101.0/24,7.554,27798796,http://data.ris.ripe.net/rrc19/2018.01/bview.20180101.0000.gz,
1,1024,comp,190.106.101.0/24,1.079,1184580,http://data.ris.ripe.net/rrc19/2018.01/bview.20180101.0000.gz,
1,1024,uncomp,190.106.101.0/24,0.590,334604,http://data.ris.ripe.net/rrc19/2018.01/bview.20180101.0000.gz,
0,0,none,190.238.103.0/24,7.882,27936356,http://data.ris.ripe.net/rrc19/2018.01/bview.20180101.0000.gz,
1,1024,comp,190.238.103.0/24,1.148,1332276,http://data.ris.ripe.net/rrc19/2018.01/bview.20180101.0000.gz,
1,1024,uncomp,190.238.103.0/24,0.424,243380,http://data.ris.ripe.net/rrc19/2018.01/bview.20180101.0000.gz,
0,0,none,192.69.34.0/24,7.923,28318628,http://data.ris.ripe.net/rrc19/2018.01/bview.20180101.0000.gz,
1,1024,comp,192.69.34.0/24,1.347,1698620,http://data.ris.ripe.net/rrc19/2018.01/bview.20180101.0000.gz,
1,1024,uncomp,192.69.34.0/24,0.733,573524,http://data.ris.ripe.net/rrc19/2018.01/bview.20180101.0000.gz,
0,0,none,192.160.42.0/24,8.151,28750132,http://data.ris.ripe.net/rrc19/2018.01/bview.20180101.0000.gz,
